dimension,segment_value,impressions,clicks,ctr_pct,conversions,cvr_pct,spend_usd
age_range,AGE_RANGE_UNDETERMINED,399688,50252,12.57,2973,5.92,47287.2
age_range,AGE_RANGE_18_24,214444,20264,9.45,817,4.03,16017.6
age_range,AGE_RANGE_25_34,170068,15824,9.3,443,2.8,13857.6
age_range,AGE_RANGE_35_44,125176,13568,10.84,543,4.0,13448.4
age_range,AGE_RANGE_45_54,55760,5900,10.58,256,4.34,5996.4
age_range,AGE_RANGE_55_64,34992,2968,8.48,72,2.43,2050.8
age_range,AGE_RANGE_65_UP,21100,1856,8.8,32,1.72,981.6
gender,UNDETERMINED,346048,45960,13.28,2811,6.12,45156.0
gender,FEMALE,344440,35112,10.19,1404,4.0,30727.2
gender,MALE,330740,29560,8.94,921,3.12,23755.2
