month,channel,contacts,won
2025-07,Органика / неразм (веб),6296,8
2025-07,Не определён,3584,568
2025-07,Google Ads (веб),1144,4
2025-07,Instagram,944,52
2025-07,ДТМ тест,616,52
2025-07,Telegram,364,16
2025-07,Сарафанное радио,296,100
2025-07,Яндекс (веб),164,4
2025-07,Facebook,48,0
2025-07,Наружная реклама,20,4
2025-07,Входящие звонки,16,4
2025-08,Не определён,1492,152
2025-08,Instagram,1388,44
2025-08,Telegram,944,112
2025-08,Органика / неразм (веб),940,12
2025-08,Google Ads (веб),888,0
2025-08,Сарафанное радио,488,108
2025-08,ДТМ тест,156,0
2025-08,Яндекс (веб),144,8
2025-08,Входящие звонки,28,12
2025-08,Рекомендация,24,20
2025-08,Facebook,20,0
2025-08,Наружная реклама,12,4
2025-09,Instagram,1868,80
2025-09,Не определён,948,52
2025-09,Telegram,724,120
2025-09,Органика / неразм (веб),656,0
2025-09,Google Ads (веб),624,16
2025-09,Сарафанное радио,376,148
2025-09,Яндекс (веб),152,12
2025-09,Входящие звонки,108,72
2025-09,Facebook,32,0
2025-09,Рекомендация,28,20
2025-09,Наружная реклама,8,0
2025-10,Instagram,1736,32
2025-10,Telegram,860,80
2025-10,Не определён,720,0
2025-10,Органика / неразм (веб),648,0
2025-10,Google Ads (веб),400,0
2025-10,Входящие звонки,304,72
2025-10,Сарафанное радио,184,44
2025-10,Яндекс (веб),84,8
2025-10,Facebook,36,0
2025-10,Рекомендация,16,8
2025-10,Наружная реклама,8,4
2025-11,Instagram,2120,20
2025-11,Органика / неразм (веб),880,0
2025-11,Входящие звонки,576,64
2025-11,Не определён,536,4
2025-11,Telegram,328,48
2025-11,Сарафанное радио,192,60
2025-11,Google Ads (веб),168,0
2025-11,Facebook,52,0
2025-11,Рекомендация,8,4
2025-11,Наружная реклама,8,4
2025-12,Instagram,980,20
2025-12,Органика / неразм (веб),772,4
2025-12,Telegram,336,36
2025-12,Входящие звонки,324,52
2025-12,Не определён,276,0
2025-12,Facebook,88,4
2025-12,Сарафанное радио,64,8
2025-12,Google Ads (веб),20,0
2025-12,Рекомендация,12,12
2025-12,ДТМ тест,8,0
2026-01,Органика / неразм (веб),1336,0
2026-01,Instagram,888,92
2026-01,Не определён,784,32
2026-01,Входящие звонки,268,136
2026-01,Сарафанное радио,208,112
2026-01,Telegram,160,44
2026-01,Facebook,44,0
2026-01,Рекомендация,36,36
2026-01,Google Ads (веб),32,4
2026-01,ДТМ тест,20,20
2026-01,Яндекс (веб),8,0
2026-01,Наружная реклама,4,4
2026-02,Органика / неразм (веб),1676,16
2026-02,Instagram,1492,84
2026-02,Не определён,788,4
2026-02,Telegram,380,60
2026-02,Сарафанное радио,292,76
2026-02,Входящие звонки,124,44
2026-02,Яндекс (веб),100,12
2026-02,Facebook,84,0
2026-02,Google Ads (веб),56,4
2026-02,Рекомендация,12,4
2026-02,Наружная реклама,8,4
2026-03,Органика / неразм (веб),2224,20
2026-03,Instagram,2000,108
2026-03,Не определён,1284,12
2026-03,Telegram,380,168
2026-03,Входящие звонки,220,112
2026-03,Сарафанное радио,192,124
2026-03,Яндекс (веб),160,4
2026-03,Google Ads (веб),64,0
2026-03,Facebook,36,0
2026-04,Органика / неразм (веб),2452,4
2026-04,Не определён,1640,32
2026-04,Instagram,1620,60
2026-04,Telegram,316,148
2026-04,Яндекс (веб),312,4
2026-04,Сарафанное радио,296,144
2026-04,Входящие звонки,256,48
2026-04,Google Ads (веб),252,8
2026-04,ДТМ тест,212,0
2026-04,Facebook,24,0
2026-05,Органика / неразм (веб),2768,16
2026-05,Instagram,1592,76
2026-05,Не определён,1512,52
2026-05,Входящие звонки,260,88
2026-05,Telegram,260,104
2026-05,Google Ads (веб),188,0
2026-05,Яндекс (веб),156,12
2026-05,Сарафанное радио,136,84
2026-05,Facebook,52,0
2026-05,Рекомендация,4,4
2026-05,Наружная реклама,4,0
2026-06,Органика / неразм (веб),5032,24
2026-06,Не определён,2344,28
2026-06,Instagram,2056,96
2026-06,Входящие звонки,460,108
2026-06,Яндекс (веб),224,8
2026-06,Telegram,220,96
2026-06,Сарафанное радио,148,88
2026-06,Google Ads (веб),132,4
2026-06,Facebook,104,0
2026-06,Рекомендация,8,4
