month,contacts,won,cr_pct,ga_spend_usd,google_crm_leads,cpl_google_usd
2025-07,13492,812,6.0,6264.0,1152,5.4
2025-08,6524,472,7.2,5556.0,888,6.3
2025-09,5524,520,9.4,5436.0,628,8.7
2025-10,4996,248,5.0,5604.0,408,13.7
2025-11,4868,204,4.2,9312.0,168,55.4
2025-12,2880,136,4.7,8496.0,20,424.8
2026-01,3788,480,12.7,6804.0,32,212.6
2026-02,5012,308,6.1,5160.0,60,86.0
2026-03,6560,548,8.4,9888.0,68,145.4
2026-04,7380,448,6.1,10740.0,292,36.8
2026-05,6932,436,6.3,14808.0,196,75.6
2026-06,10728,456,4.3,14196.0,144,98.6
