month,channel,sessions,conversions
2025-07,Cross-network,14568,1712
2025-07,Organic Search,6704,76
2025-07,Paid Search,4592,392
2025-07,Direct,1508,48
2025-07,Organic Social,1368,0
2025-07,Unassigned,120,8
2025-07,Referral,104,12
2025-08,Cross-network,13304,1860
2025-08,Organic Search,5720,60
2025-08,Paid Search,5220,536
2025-08,Direct,1756,36
2025-08,Organic Social,936,0
2025-08,Unassigned,108,4
2025-08,Referral,48,4
2025-09,Cross-network,19076,2008
2025-09,Organic Search,6968,124
2025-09,Paid Search,6124,664
2025-09,Direct,1788,72
2025-09,Organic Social,1124,4
2025-09,Unassigned,116,4
2025-09,Referral,56,0
2025-10,Organic Search,7888,84
2025-10,Paid Search,5728,652
2025-10,Cross-network,4452,452
2025-10,Direct,1600,24
2025-10,Organic Social,964,20
2025-10,Unassigned,104,0
2025-10,Referral,80,4
2025-11,Cross-network,14312,892
2025-11,Organic Search,8228,124
2025-11,Paid Search,5220,624
2025-11,Direct,1724,52
2025-11,Organic Social,1088,0
2025-11,Unassigned,152,16
2025-11,Referral,96,0
2025-12,Cross-network,25084,972
2025-12,Organic Search,7496,120
2025-12,Paid Search,5776,660
2025-12,Direct,1448,100
2025-12,Organic Social,956,16
2025-12,Unassigned,184,0
2025-12,Referral,76,0
2026-01,Cross-network,37496,2244
2026-01,Organic Search,7880,128
2026-01,Paid Search,4716,500
2026-01,Direct,3436,88
2026-01,Organic Social,1524,8
2026-01,Unassigned,192,8
2026-01,Referral,40,0
2026-02,Cross-network,13592,1388
2026-02,Organic Search,8376,88
2026-02,Paid Search,4336,516
2026-02,Direct,4312,508
2026-02,Organic Social,1232,12
2026-02,Unassigned,180,0
2026-02,Referral,64,0
2026-03,Cross-network,11340,1500
2026-03,Organic Search,6456,84
2026-03,Direct,4440,76
2026-03,Paid Search,4316,420
2026-03,Organic Social,1076,16
2026-03,Unassigned,192,4
2026-03,Referral,80,0
2026-04,Organic Search,7652,140
2026-04,Display,2544,36
2026-04,Paid Search,2468,244
2026-04,Direct,2388,32
2026-04,Cross-network,1664,236
2026-04,Organic Social,1004,8
2026-04,Unassigned,148,8
2026-04,Referral,64,0
2026-05,Cross-network,6944,1716
2026-05,Organic Search,6520,68
2026-05,Paid Search,4016,352
2026-05,Direct,1072,24
2026-05,Organic Social,916,8
2026-05,Display,228,0
2026-05,Unassigned,96,4
2026-05,Referral,68,4
2026-06,Cross-network,35088,1156
2026-06,Organic Search,8252,116
2026-06,Paid Search,6180,428
2026-06,Direct,2800,24
2026-06,Organic Social,892,0
2026-06,Unassigned,200,4
2026-06,AI Assistant,44,0
2026-06,Display,36,0
2026-06,Referral,32,0
2026-06,Paid Other,4,8
