month,channel,contacts,won
2025-07,Organic / untagged (web),6296,8
2025-07,Unclassified,3584,568
2025-07,Google Ads (web),1144,4
2025-07,Instagram,944,52
2025-07,DTM test,616,52
2025-07,Telegram,364,16
2025-07,Word of mouth,296,100
2025-07,Yandex (web),164,4
2025-07,Facebook,48,0
2025-07,Outdoor advertising,20,4
2025-07,Inbound calls,16,4
2025-08,Unclassified,1492,152
2025-08,Instagram,1388,44
2025-08,Telegram,944,112
2025-08,Organic / untagged (web),940,12
2025-08,Google Ads (web),888,0
2025-08,Word of mouth,488,108
2025-08,DTM test,156,0
2025-08,Yandex (web),144,8
2025-08,Inbound calls,28,12
2025-08,Referral,24,20
2025-08,Facebook,20,0
2025-08,Outdoor advertising,12,4
2025-09,Instagram,1868,80
2025-09,Unclassified,948,52
2025-09,Telegram,724,120
2025-09,Organic / untagged (web),656,0
2025-09,Google Ads (web),624,16
2025-09,Word of mouth,376,148
2025-09,Yandex (web),152,12
2025-09,Inbound calls,108,72
2025-09,Facebook,32,0
2025-09,Referral,28,20
2025-09,Outdoor advertising,8,0
2025-10,Instagram,1736,32
2025-10,Telegram,860,80
2025-10,Unclassified,720,0
2025-10,Organic / untagged (web),648,0
2025-10,Google Ads (web),400,0
2025-10,Inbound calls,304,72
2025-10,Word of mouth,184,44
2025-10,Yandex (web),84,8
2025-10,Facebook,36,0
2025-10,Referral,16,8
2025-10,Outdoor advertising,8,4
2025-11,Instagram,2120,20
2025-11,Organic / untagged (web),880,0
2025-11,Inbound calls,576,64
2025-11,Unclassified,536,4
2025-11,Telegram,328,48
2025-11,Word of mouth,192,60
2025-11,Google Ads (web),168,0
2025-11,Facebook,52,0
2025-11,Referral,8,4
2025-11,Outdoor advertising,8,4
2025-12,Instagram,980,20
2025-12,Organic / untagged (web),772,4
2025-12,Telegram,336,36
2025-12,Inbound calls,324,52
2025-12,Unclassified,276,0
2025-12,Facebook,88,4
2025-12,Word of mouth,64,8
2025-12,Google Ads (web),20,0
2025-12,Referral,12,12
2025-12,DTM test,8,0
2026-01,Organic / untagged (web),1336,0
2026-01,Instagram,888,92
2026-01,Unclassified,784,32
2026-01,Inbound calls,268,136
2026-01,Word of mouth,208,112
2026-01,Telegram,160,44
2026-01,Facebook,44,0
2026-01,Referral,36,36
2026-01,Google Ads (web),32,4
2026-01,DTM test,20,20
2026-01,Yandex (web),8,0
2026-01,Outdoor advertising,4,4
2026-02,Organic / untagged (web),1676,16
2026-02,Instagram,1492,84
2026-02,Unclassified,788,4
2026-02,Telegram,380,60
2026-02,Word of mouth,292,76
2026-02,Inbound calls,124,44
2026-02,Yandex (web),100,12
2026-02,Facebook,84,0
2026-02,Google Ads (web),56,4
2026-02,Referral,12,4
2026-02,Outdoor advertising,8,4
2026-03,Organic / untagged (web),2224,20
2026-03,Instagram,2000,108
2026-03,Unclassified,1284,12
2026-03,Telegram,380,168
2026-03,Inbound calls,220,112
2026-03,Word of mouth,192,124
2026-03,Yandex (web),160,4
2026-03,Google Ads (web),64,0
2026-03,Facebook,36,0
2026-04,Organic / untagged (web),2452,4
2026-04,Unclassified,1640,32
2026-04,Instagram,1620,60
2026-04,Telegram,316,148
2026-04,Yandex (web),312,4
2026-04,Word of mouth,296,144
2026-04,Inbound calls,256,48
2026-04,Google Ads (web),252,8
2026-04,DTM test,212,0
2026-04,Facebook,24,0
2026-05,Organic / untagged (web),2768,16
2026-05,Instagram,1592,76
2026-05,Unclassified,1512,52
2026-05,Telegram,260,104
2026-05,Inbound calls,260,88
2026-05,Google Ads (web),188,0
2026-05,Yandex (web),156,12
2026-05,Word of mouth,136,84
2026-05,Facebook,52,0
2026-05,Referral,4,4
2026-05,Outdoor advertising,4,0
2026-06,Organic / untagged (web),5032,24
2026-06,Unclassified,2344,28
2026-06,Instagram,2056,96
2026-06,Inbound calls,460,108
2026-06,Yandex (web),224,8
2026-06,Telegram,220,96
2026-06,Word of mouth,148,88
2026-06,Google Ads (web),132,4
2026-06,Facebook,104,0
2026-06,Referral,8,4
